object_name,sector,level,service_scale,process_criticality,num_users,num_territories,predicted_financial_damage,recovery_time_hours,critical_processes_count,integrations_count,personal_data_subjects,affected_employees,continuous_operation,uses_automated_control_system,provides_gov_services,life_health_impact,ecological_impact,defense_impact,public_order_impact,transport_impact,communication_impact,sensitive_info,category_level
Сервис передачи #1,Наука,Муниципальный,Федеральный округ,Высокая,5452,13,118316006,4.0,4,7,1945,583,True,False,False,False,False,False,False,False,False,False,1
Сервис аналитики #2,Связь,Региональный,Несколько муниципалитетов,Средняя,37166,3,1740697,72.0,7,20,8798,2221,False,True,False,False,True,False,False,False,True,False,1
Система мониторинга #3,Оборонная промышленность,Региональный,Несколько муниципалитетов,Высокая,417689,2,2501743,24.0,5,19,93516,566,True,False,False,False,False,True,False,False,False,True,2
Сеть управления #4,Энергетика,Федеральный,Вся страна,Средняя,322946,73,4015377,72.0,14,27,361896,3513,True,True,False,False,True,False,True,False,False,False,2
ИС управления #5,Государственное управление,Региональный,Один город,Средняя,215862,3,281163,72.0,12,20,191207,2633,True,False,True,False,False,True,True,False,False,True,3
АСУ ТП передачи #6,Здравоохранение,Объектовый,Один город,Средняя,769,1,8492674,168.0,4,6,1024,656,True,True,False,True,False,False,False,False,False,False,1
Сервис передачи #7,Топливная промышленность,Региональный,Вся страна,Высокая,219862,62,1223511,4.0,10,8,97129,490,True,True,False,False,True,False,False,False,True,False,2
ИС передачи #8,Государственное управление,Региональный,Вся страна,Высокая,477565,51,258996856,8.0,7,14,278468,2009,True,True,True,False,False,True,True,False,False,True,3
Платформа обработки #9,Энергетика,Муниципальный,Один город,Средняя,41025,3,6046006,24.0,7,6,6444,1224,False,True,True,False,True,False,False,False,False,True,2
АСУ ТП мониторинга #10,Наука,Федеральный,Несколько муниципалитетов,Средняя,333819,3,1656873,48.0,7,25,115146,5786,False,False,False,False,False,False,False,False,False,False,1
АСУ ТП обработки #11,Связь,Муниципальный,Субъект РФ,Низкая,24823,1,82452,168.0,6,12,22662,721,False,False,False,False,False,False,False,False,True,False,0
